,Place Name,Place ID,Latitude,Longitude,Rating,Types,Vicinity,Formatted address,User Ratings Total
77,Little Taste of Vietnam,ChIJawC_wT0d12oRW7m0JcMUyOg,-37.355972,144.529475,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","shop 5b/130 High St, Woodend",,0
78,Woodend Kitchen,ChIJ86kQotAd12oRcmfjWmpWVIY,-37.355176,144.5285071,3.7,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","4/115 High St, Woodend",,86
79,Smokin Moe's,ChIJ-dTPvvAI12oRfHhvDZGqSnc,-37.2768129,144.734712,3.7,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","20B High St, Lancefield",,96
80,Andrews Cafe,ChIJncMwZcYd12oRwhUDM978vzE,-37.3571899,144.526993,4.0,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","77 High St, Woodend",,2
81,Stanley Park,ChIJ____i5vi1moRLIV5lPGow8k,-37.4062539,144.5803698,4.1,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']","Stanley Park, Mount Macedon",,78
82,Corinella Park,ChIJ75eqtQId12oRKwBTan8RZaM,-37.3593213,144.5235284,4.0,"['park', 'point_of_interest', 'establishment']","Corinella Rd, Woodend",,1
83,Water Reserve,ChIJM38IMA8d12oRtwy5kY2HX5Y,-37.3685955,144.5412538,4.0,"['park', 'point_of_interest', 'establishment']","143 Quarry Rd, Woodend",,1
84,John Aitken Reserve,ChIJJxcz76Pk1moR-k98AyWWHPo,-37.4855394,144.5920252,4.4,"['park', 'point_of_interest', 'establishment']","15 Aitken St, Gisborne",,13
85,Macedon Regional Park,ChIJjQ1XOUEd12oR8ONCFKV5BQ8,-37.3858262,144.5764684,4.5,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']","Memorial Cross, Mount Macedon",,476
86,Ash Wednesday Park,ChIJbaI_uVni1moRcLhCFKV5BQ8,-37.4214936,144.5621116,4.3,"['park', 'point_of_interest', 'establishment']","50 Smith St, Macedon",,21
87,Lagoon Park,ChIJ45Ud5hvi1moR_qIw81k41WM,-37.3968842,144.5283698,3.5,"['park', 'point_of_interest', 'establishment']",Woodend,,8
88,Sanatorium Lake Nature Walk,ChIJTaBQ-NUC12oRnoq7yOJr9sc,-37.3755908,144.6144386,4.6,"['park', 'point_of_interest', 'establishment']","Unnamed Road, Mount Macedon",,25
89,Viewfield,ChIJWYvzQZ7i1moR2_-kVHzmfn8,-37.4039168,144.5852122,4.7,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']","651 Mount Macedon Rd, Mount Macedon",,13
90,Riddells Creek Recreation Reserve,ChIJGW9kHcX91moRlMmR9znCJlk,-37.4619614,144.6846093,4.4,"['park', 'point_of_interest', 'establishment']","26-32 Sutherlands Rd, Riddells Creek",,58
91,Green space,ChIJMZGE9dgd12oRfyZf5Tg55NU,-37.3559722,144.5233729,0.0,"['park', 'point_of_interest', 'establishment']","5 Burke St, Woodend",,0
92,Macedon Caravan Park,ChIJZ111sazj1moRnWtx00KouE4,-37.4312266,144.5588146,3.0,"['campground', 'rv_park', 'lodging', 'park', 'point_of_interest', 'establishment']","324 Black Forest Dr, Macedon",,47
93,Bolobek,ChIJVeRQksLi1moRZe61QfYrH9w,-37.4256176,144.5805006,4.8,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']","370 Mount Macedon Rd, Mount Macedon",,9
94,KANGA TOURS - KANGAROO SIGHTSEEING TOURS MELBOURNE,ChIJB7HEClvl1moRvQ3fQePD9IY,-37.4929566,144.5789219,5.0,"['zoo', 'tourist_attraction', 'park', 'point_of_interest', 'establishment']","25 Daly St, Gisborne",,2
95,f枫叶,ChIJbwhEjkMd12oR9RaDtwrvq7w,-37.3929331,144.5924714,4.2,"['park', 'point_of_interest', 'establishment']","Mount Macedon Rd, Mount Macedon",,6
96,Black Forest,ChIJRa2Gth7i1moRe9sIBefYzVo,-37.3979749,144.5269211,4.0,"['park', 'point_of_interest', 'establishment']",Woodend,,4
97,Camels Hump Carpark,ChIJKzZ1XyYd12oRkd4PbQ_gDpI,-37.3724801,144.5958716,4.3,"['parking', 'tourist_attraction', 'point_of_interest', 'establishment']","3441/409 Cameron Dr, Mount Macedon",,83
98,Forest Glade Gardens,ChIJMVZuREYd12oRzug1ufa4OFQ,-37.3916674,144.5960885,4.5,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']","816 Mount Macedon Rd, Mount Macedon",,470
99,Woodend Children's Park,ChIJR2buZNAd12oRhYUXR8okdZE,-37.355353,144.530478,4.6,"['tourist_attraction', 'point_of_interest', 'establishment']","12 Nicholson St, Woodend",,227
100,Rowallan Scout Camp,ChIJgbprkSMC12oR0QX4qxtTp98,-37.415171,144.687523,4.4,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']","6 Kent Rd, Riddells Creek",,51
101,Five Mile Creek Reserve,ChIJveJU588d12oRFFviFcO0ZlM,-37.35481559999999,144.5402765,4.1,"['park', 'point_of_interest', 'establishment']",Woodend,,15
102,Gardens of Tieve Tara,ChIJMT699UMd12oRgqGO-c3bnpw,-37.3970685,144.5881194,4.2,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']","751 Mount Macedon Rd, Mount Macedon",,296
103,Il Caffé,ChIJxRVt49sd12oRWDUx8auAhNY,-37.35902129999999,144.5275167,4.6,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","66 High St, Woodend",,131
104,Mocha Leaf Cafe/Pizzeria,ChIJWf_0Csj91moR8DmUfphH7VY,-37.462459,144.676464,4.4,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","78 Main Rd, Riddells Creek",,63
105,The Jolly Miller Cafe,ChIJvRzg_qLk1moRxjaYjRneQu4,-37.4867022,144.5900098,4.0,"['cafe', 'bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","29A Brantome St, Gisborne",,219
106,Mr. Cafe Macedon,ChIJjy04PVji1moRju_nso_sPa4,-37.4231235,144.5641636,4.5,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","23 Victoria St, Macedon",,416
107,Top of the Range Tea Rooms,ChIJNcAe6XEd12oRJKGT9KqtkIc,-37.386378,144.5759645,3.9,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","415 Cameron Dr, Mount Macedon",,328
108,The Corner Boutique Coffee Bar,ChIJy3no6aLk1moROM-W98l80uE,-37.4876539,144.5897587,4.4,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","4/30 Hamilton St, Gisborne",,78
109,"Jed Cafe, Gisborne",ChIJ_XtxdaPk1moRGytfG0r4CgU,-37.48640779999999,144.5910371,4.3,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","26B Aitken St, Gisborne",,146
110,Red Door Cafe Macedon,ChIJf5SZgK7j1moR6DLpRUePtP8,-37.4323128,144.5594234,4.2,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","313 Black Forest Dr, Macedon",,112
